idx,case,Activity,timestamp,lifecycle,ApplicationType,LoanGoal,RequestedAmount,MonthlyCost,resource,Selected,EventID,OfferID,FirstWithdrawalAmount,Action,Accepted,CreditScore,NumberOfTerms,EventOrigin,OfferedAmount,EventIDraw
686058,Application_1000086665,A_Create Application,2016-08-03T17:57:21.673+0100,COMPLETE,New credit,"Other, see explanation",5000.0,Unknown,User_1,Unknown,Application_1000086665,Unknown,Unknown,Created,Unknown,Unknown,Unknown,Application,Unknown,Application_1000086665
686059,Application_1000086665,A_Submitted,2016-08-03T17:57:21.734+0100,COMPLETE,New credit,"Other, see explanation",5000.0,Unknown,User_1,Unknown,ApplState_161925113,Unknown,Unknown,statechange,Unknown,Unknown,Unknown,Application,Unknown,ApplState_161925113
686060,Application_1000086665,W_Handle leads,2016-08-03T17:57:21.963+0100,SCHEDULE,New credit,"Other, see explanation",5000.0,Unknown,User_1,Unknown,Workitem_747707399,Unknown,Unknown,Created,Unknown,Unknown,Unknown,Workflow,Unknown,Workitem_747707399
686061,Application_1000086665,W_Handle leads,2016-08-03T17:58:28.286+0100,WITHDRAW,New credit,"Other, see explanation",5000.0,Unknown,User_1,Unknown,Workitem_1030261128,Unknown,Unknown,Deleted,Unknown,Unknown,Unknown,Workflow,Unknown,Workitem_1030261128
686062,Application_1000086665,W_Complete application,2016-08-03T17:58:28.293+0100,SCHEDULE,New credit,"Other, see explanation",5000.0,Unknown,User_1,Unknown,Workitem_1127124826,Unknown,Unknown,Created,Unknown,Unknown,Unknown,Workflow,Unknown,Workitem_1127124826
686063,Application_1000086665,A_Concept,2016-08-03T17:58:28.299+0100,COMPLETE,New credit,"Other, see explanation",5000.0,Unknown,User_1,Unknown,ApplState_385184570,Unknown,Unknown,statechange,Unknown,Unknown,Unknown,Application,Unknown,ApplState_385184570
686064,Application_1000086665,W_Complete application,2016-08-04T15:39:29.557+0100,START,New credit,"Other, see explanation",5000.0,Unknown,User_14,Unknown,Workitem_518019192,Unknown,Unknown,Obtained,Unknown,Unknown,Unknown,Workflow,Unknown,Workitem_518019192
686065,Application_1000086665,W_Complete application,2016-08-04T15:50:12.281+0100,SUSPEND,New credit,"Other, see explanation",5000.0,Unknown,User_14,Unknown,Workitem_1967765821,Unknown,Unknown,Released,Unknown,Unknown,Unknown,Workflow,Unknown,Workitem_1967765821
686066,Application_1000086665,A_Accepted,2016-08-05T15:57:07.419+0100,COMPLETE,New credit,"Other, see explanation",5000.0,Unknown,User_5,Unknown,ApplState_856156982,Unknown,Unknown,statechange,Unknown,Unknown,Unknown,Application,Unknown,ApplState_856156982
686067,Application_1000086665,O_Create Offer,2016-08-05T15:59:57.320+0100,COMPLETE,New credit,"Other, see explanation",5000.0,241.28,User_5,False,Offer_410892064,Offer_410892064,5000.0,Created,True,0.0,22.0,Offer,5000.0,Offer_410892064
686068,Application_1000086665,O_Created,2016-08-05T15:59:58.162+0100,COMPLETE,New credit,"Other, see explanation",5000.0,Unknown,User_5,Unknown,OfferState_2071773136,Offer_410892064,Unknown,statechange,Unknown,Unknown,Unknown,Offer,Unknown,OfferState_2071773136
686069,Application_1000086665,O_Sent (mail and online),2016-08-05T16:01:23.264+0100,COMPLETE,New credit,"Other, see explanation",5000.0,Unknown,User_5,Unknown,OfferState_388269514,Offer_410892064,Unknown,statechange,Unknown,Unknown,Unknown,Offer,Unknown,OfferState_388269514
686070,Application_1000086665,W_Complete application,2016-08-05T16:01:23.278+0100,ATE_ABORT,New credit,"Other, see explanation",5000.0,Unknown,User_5,Unknown,Workitem_576357058,Unknown,Unknown,Deleted,Unknown,Unknown,Unknown,Workflow,Unknown,Workitem_576357058
686071,Application_1000086665,W_Call after offers,2016-08-05T16:01:23.284+0100,SCHEDULE,New credit,"Other, see explanation",5000.0,Unknown,User_5,Unknown,Workitem_1624628008,Unknown,Unknown,Created,Unknown,Unknown,Unknown,Workflow,Unknown,Workitem_1624628008
686072,Application_1000086665,W_Call after offers,2016-08-05T16:01:23.286+0100,START,New credit,"Other, see explanation",5000.0,Unknown,User_5,Unknown,Workitem_409035147,Unknown,Unknown,Obtained,Unknown,Unknown,Unknown,Workflow,Unknown,Workitem_409035147
686073,Application_1000086665,A_Complete,2016-08-05T16:01:23.288+0100,COMPLETE,New credit,"Other, see explanation",5000.0,Unknown,User_5,Unknown,ApplState_1103800866,Unknown,Unknown,statechange,Unknown,Unknown,Unknown,Application,Unknown,ApplState_1103800866
686074,Application_1000086665,W_Call after offers,2016-08-05T16:03:01.480+0100,SUSPEND,New credit,"Other, see explanation",5000.0,Unknown,User_5,Unknown,Workitem_486281252,Unknown,Unknown,Released,Unknown,Unknown,Unknown,Workflow,Unknown,Workitem_486281252
686075,Application_1000086665,W_Call after offers,2016-08-09T20:25:01.546+0100,RESUME,New credit,"Other, see explanation",5000.0,Unknown,User_18,Unknown,Workitem_261413834,Unknown,Unknown,Obtained,Unknown,Unknown,Unknown,Workflow,Unknown,Workitem_261413834
686076,Application_1000086665,W_Call after offers,2016-08-09T20:25:32.629+0100,SUSPEND,New credit,"Other, see explanation",5000.0,Unknown,User_18,Unknown,Workitem_1136881245,Unknown,Unknown,Released,Unknown,Unknown,Unknown,Workflow,Unknown,Workitem_1136881245
686077,Application_1000086665,A_Cancelled,2016-09-05T08:00:36.710+0100,COMPLETE,New credit,"Other, see explanation",5000.0,Unknown,User_1,Unknown,ApplState_544389273,Unknown,Unknown,statechange,Unknown,Unknown,Unknown,Application,Unknown,ApplState_544389273
686078,Application_1000086665,O_Cancelled,2016-09-05T08:00:36.829+0100,COMPLETE,New credit,"Other, see explanation",5000.0,Unknown,User_1,Unknown,OfferState_1258287612,Offer_410892064,Unknown,statechange,Unknown,Unknown,Unknown,Offer,Unknown,OfferState_1258287612
686079,Application_1000086665,W_Call after offers,2016-09-05T08:00:36.893+0100,ATE_ABORT,New credit,"Other, see explanation",5000.0,Unknown,User_1,Unknown,Workitem_1074507345,Unknown,Unknown,Deleted,Unknown,Unknown,Unknown,Workflow,Unknown,Workitem_1074507345
445739,Application_1000158214,A_Create Application,2016-06-02T12:14:26.844+0100,COMPLETE,New credit,Home improvement,12500.0,Unknown,User_1,Unknown,Application_1000158214,Unknown,Unknown,Created,Unknown,Unknown,Unknown,Application,Unknown,Application_1000158214
445740,Application_1000158214,A_Submitted,2016-06-02T12:14:26.885+0100,COMPLETE,New credit,Home improvement,12500.0,Unknown,User_1,Unknown,ApplState_277536765,Unknown,Unknown,statechange,Unknown,Unknown,Unknown,Application,Unknown,ApplState_277536765
445741,Application_1000158214,W_Handle leads,2016-06-02T12:14:27.227+0100,SCHEDULE,New credit,Home improvement,12500.0,Unknown,User_1,Unknown,Workitem_176988109,Unknown,Unknown,Created,Unknown,Unknown,Unknown,Workflow,Unknown,Workitem_176988109
445742,Application_1000158214,W_Handle leads,2016-06-02T12:15:36.752+0100,WITHDRAW,New credit,Home improvement,12500.0,Unknown,User_1,Unknown,Workitem_895982768,Unknown,Unknown,Deleted,Unknown,Unknown,Unknown,Workflow,Unknown,Workitem_895982768
445743,Application_1000158214,W_Complete application,2016-06-02T12:15:36.764+0100,SCHEDULE,New credit,Home improvement,12500.0,Unknown,User_1,Unknown,Workitem_1409452454,Unknown,Unknown,Created,Unknown,Unknown,Unknown,Workflow,Unknown,Workitem_1409452454
445744,Application_1000158214,A_Concept,2016-06-02T12:15:36.773+0100,COMPLETE,New credit,Home improvement,12500.0,Unknown,User_1,Unknown,ApplState_1547990892,Unknown,Unknown,statechange,Unknown,Unknown,Unknown,Application,Unknown,ApplState_1547990892
445745,Application_1000158214,W_Complete application,2016-06-06T10:02:16.549+0100,START,New credit,Home improvement,12500.0,Unknown,User_32,Unknown,Workitem_63191057,Unknown,Unknown,Obtained,Unknown,Unknown,Unknown,Workflow,Unknown,Workitem_63191057
445746,Application_1000158214,A_Accepted,2016-06-06T10:10:07.694+0100,COMPLETE,New credit,Home improvement,12500.0,Unknown,User_32,Unknown,ApplState_226397461,Unknown,Unknown,statechange,Unknown,Unknown,Unknown,Application,Unknown,ApplState_226397461
445747,Application_1000158214,O_Create Offer,2016-06-06T10:12:02.402+0100,COMPLETE,New credit,Home improvement,12500.0,250.0,User_32,True,Offer_927137349,Offer_927137349,0.0,Created,True,929.0,57.0,Offer,12500.0,Offer_927137349
445748,Application_1000158214,O_Created,2016-06-06T10:12:03.657+0100,COMPLETE,New credit,Home improvement,12500.0,Unknown,User_32,Unknown,OfferState_268883758,Offer_927137349,Unknown,statechange,Unknown,Unknown,Unknown,Offer,Unknown,OfferState_268883758
445749,Application_1000158214,O_Sent (mail and online),2016-06-06T10:16:46.835+0100,COMPLETE,New credit,Home improvement,12500.0,Unknown,User_32,Unknown,OfferState_1948801867,Offer_927137349,Unknown,statechange,Unknown,Unknown,Unknown,Offer,Unknown,OfferState_1948801867
445750,Application_1000158214,W_Complete application,2016-06-06T10:16:46.869+0100,COMPLETE,New credit,Home improvement,12500.0,Unknown,User_32,Unknown,Workitem_518835990,Unknown,Unknown,Deleted,Unknown,Unknown,Unknown,Workflow,Unknown,Workitem_518835990
445751,Application_1000158214,W_Call after offers,2016-06-06T10:16:46.888+0100,SCHEDULE,New credit,Home improvement,12500.0,Unknown,User_32,Unknown,Workitem_824752071,Unknown,Unknown,Created,Unknown,Unknown,Unknown,Workflow,Unknown,Workitem_824752071
